Iteration,Potential,Collision Likelihood,Reach Numerator,Entropy,Trial
0,0.35258191054059446,0.21518479309364977,0.5550877290419719,0.75,0
1,0.3541743323117229,0.20752038341348772,0.5435783545423694,0.75,0
2,0.40622672062400833,0.16894405696234588,0.5428963473224697,0.75,0
3,0.4066843242594962,0.16901862507625745,0.5432526130675577,0.75,0
4,0.40671298165998604,0.1694642424425465,0.5438814168979554,0.75,0
5,0.4065631379512512,0.1704903768077722,0.5439164127433311,0.75,0
6,0.40656620346815653,0.17048808445229158,0.5439164127433311,0.75,0
7,0.40656620346815653,0.17048808445229158,0.5436751968385396,0.75,0
8,0.4066551314036897,0.16912046814534865,0.5436751968385396,0.75,0
9,0.4066551314036897,0.16912046814534865,0.5436751968385396,0.75,0
0,0.5383812581780265,0.056061276482213186,0.5650472300698157,0.75,1
1,0.5464847646612745,0.03778246837261291,0.5625839342897342,0.75,1
2,0.5475839622673658,0.0355217698574145,0.5593101210940823,0.75,1
3,0.5493729791317308,0.028977950880196737,0.5657233070374535,0.75,1
4,0.5546826383666535,0.030016687251383095,0.5656501180520642,0.75,1
5,0.5546868825922058,0.030033421307648564,0.566188154987752,0.75,1
6,0.5547981570597438,0.030629217792731537,0.5662932651108253,0.75,1
7,0.5548593085476976,0.030664770103032413,0.5662932651108253,0.75,1
8,0.5548593085476976,0.030664770103032413,0.5662932651108253,0.75,1
9,0.5548593085476976,0.030664770103032413,0.5662932651108253,0.75,1
0,0.21606455903836722,0.23218213929685436,0.6634488346859512,0.75,2
1,0.42999425650484496,0.17982411112484717,0.632962439396231,0.75,2
2,0.44389130353878825,0.18394388725675087,0.5884844590073127,0.75,2
3,0.4974367660393884,0.1014395370030536,0.5913470523681086,0.75,2
4,0.5306892007555705,0.06371276192608494,0.6033235923495405,0.75,2
5,0.5417354588623812,0.06366364375401008,0.6207261230373196,0.75,2
6,0.5579884231965,0.06882826347201518,0.621447323031881,0.75,2
7,0.5580756059273855,0.07005716096189306,0.6253446027464985,0.75,2
8,0.5602640553063392,0.06994762002035136,0.6242387240332261,0.75,2
9,0.5604719332288721,0.0693138924684074,0.624463334220769,0.75,2
0,0.04144025566043367,0.51618502344814,0.3601590560923627,0.75,3
1,0.058933947422160966,0.4550761031525799,0.32055863916343413,0.75,3
2,0.11722072003828582,0.35455659434717524,0.3061758657002341,0.75,3
3,0.13496475702177996,0.3170154802558998,0.3391575778702287,0.75,3
4,0.15312530964315196,0.31398020883532557,0.3461386927229379,0.75,3
5,0.16028818460134678,0.31313686234806365,0.3516513259911519,0.75,3
6,0.16581573636775723,0.30397847375474296,0.4492958488921675,0.75,3
7,0.19515594897637237,0.3382702769770097,0.4479084350633289,0.75,3
8,0.1952987662690767,0.33576130397883536,0.4457089588240972,0.75,3
9,0.19727424317079204,0.33969118588039426,0.4457089588240972,0.75,3
0,0.5154173567659533,0.058276122850456816,0.5429539949102195,0.75,4
1,0.5157205664663549,0.056953315805075025,0.5429539949102195,0.75,4
2,0.5157205664663549,0.056953315805075025,0.5400281638150657,0.75,4
3,0.515951204782141,0.05295675463572279,0.5400281638150657,0.75,4
4,0.515951204782141,0.05295675463572279,0.5400281638150657,0.75,4
5,0.515951204782141,0.05295675463572279,0.5403320080584074,0.75,4
6,0.516028245261299,0.05326144780437131,0.5403320080584074,0.75,4
7,0.516028245261299,0.05326144780437131,0.5403320080584074,0.75,4
8,0.516028245261299,0.05326144780437131,0.5403320080584074,0.75,4
9,0.516028245261299,0.05326144780437131,0.5403320080584074,0.75,4
0,0.19595691653769304,0.3624573369293528,0.4762503916238175,0.75,5
1,0.20022470824871566,0.32205676038288783,0.4652024677130885,0.75,5
2,0.2085481337711761,0.3051377031151865,0.4275390270586802,0.75,5
3,0.23647495552885003,0.2628335798350396,0.4434896250302286,0.75,5
4,0.24082495384562283,0.27370948641936493,0.4163365707188888,0.75,5
5,0.2471910516180332,0.25778580669479423,0.4204647302363308,0.75,5
6,0.24900527547942358,0.25930345575498454,0.4203464671472757,0.75,5
7,0.2490671415568797,0.2590069624787087,0.4225997646239949,0.75,5
8,0.25051802375125193,0.2642791633531272,0.4225997646239949,0.75,5
9,0.25051802375125193,0.2642791633531272,0.42237992079016295,0.75,5
0,0.11310220958794558,0.4081989132873105,0.4745069079717701,0.75,6
1,0.19854055546029364,0.30864939939721986,0.46710820279536497,0.75,6
2,0.23301717180066417,0.2587654223976332,0.41252767770324456,0.75,6
3,0.24209439992786075,0.20728860215021708,0.3984221774130894,0.75,6
4,0.24955274336327204,0.17260313956884715,0.39812143367174485,0.75,6
5,0.2533885317608622,0.16068618592207567,0.4283349056917186,0.75,6
6,0.2638988424815985,0.1711082608724226,0.4303894507457979,0.75,6
7,0.27038249749022314,0.15580322934190596,0.43005388189242344,0.75,6
8,0.2715200628514008,0.15696631313733095,0.43127015087002396,0.75,6
9,0.2717795149601357,0.15793916849988515,0.43841922671540784,0.75,6
0,0.5143298337797247,0.1946992723951723,0.7746922497832912,0.75,7
1,0.517696592789014,0.19480168639423692,0.7651105785973628,0.75,7
2,0.5440482354169576,0.18328919932641813,0.7499073273055128,0.75,7
3,0.5687833852333388,0.1299048544510047,0.7500993564403322,0.75,7
4,0.5688297560650573,0.1299039081837277,0.7519201024968077,0.75,7
5,0.5720096125082436,0.12864391165869435,0.751365304230074,0.75,7
6,0.5722280730871285,0.12681365131449238,0.751365304230074,0.75,7
7,0.5722280730871285,0.12681365131449238,0.7526323668633454,0.75,7
8,0.5732771942493236,0.12647111738326983,0.7519279786855602,0.75,7
9,0.573230121812576,0.12619016465659663,0.7519279786855602,0.75,7
0,0.5269717331071117,0.18391693217871505,0.7666639701007711,0.75,8
1,0.5310231324443111,0.18407918512434143,0.7598531218668971,0.75,8
2,0.5451184784648683,0.1804518414673028,0.6874259379348963,0.75,8
3,0.5875547197747231,0.07815438632409638,0.6877415604982025,0.75,8
4,0.5876361212089949,0.07815147522218506,0.6924120605974494,0.75,8
5,0.6009761389436148,0.06952878117062963,0.7089224976772676,0.75,8
6,0.605115045708007,0.07459074357751065,0.7089224976772676,0.75,8
7,0.605115045708007,0.07459074357751065,0.7069125936983972,0.75,8
8,0.6062544304028716,0.07409254233252902,0.7068458880834135,0.75,8
9,0.6062808197755318,0.07403846605477453,0.7068458880834135,0.75,8
0,0.49562288196949206,0.22868725884236416,0.7204196319043015,0.75,9
1,0.5049231991980353,0.21006667824461278,0.7114227197984856,0.75,9
2,0.5159600940554162,0.19065039920588947,0.700970931920691,0.75,9
