Grid Size,Peak Memory (MB),Method
2,0.0690555572509765,Global Optimal
2,0.6253995895385742,Local Feedback
3,0.4171600341796875,Global Optimal
3,0.6236429214477539,Local Feedback
4,1.649921417236328,Global Optimal
4,0.6407051086425781,Local Feedback
5,3.7305192947387695,Global Optimal
5,0.6690959930419922,Local Feedback
6,7.980679512023926,Global Optimal
6,1.133901596069336,Local Feedback
7,15.210027694702148,Global Optimal
7,1.8367462158203125,Local Feedback
8,28.830869674682617,Global Optimal
8,3.1309585571289062,Local Feedback
